module	n_genes	spearman_r	p
ECM_collagen	20	-0.06869715990265586	0.4182683892223845
Adhesion_focal_adhesion	13	-0.06823257038980404	0.42143037802045913
Senescence_ROS_SASP	15	0.1672843391091101	0.04740054272162899
Public_ECM_aging_DOWN	64	0.25072418742419744	0.002711046335785668
Public_ECM_aging_UP	20	0.2182757143514685	0.00931583956726363
