names	scores	logfoldchanges	pvals	pvals_adj
Ldha	4.803954	0.7236573	1.5556249341688044e-06	6.718121840701398e-05
Rplp0	4.7973676	0.3803635	1.6076442996179081e-06	6.928914842644608e-05
Rplp1	4.7905326	0.3071112	1.66339300195534e-06	7.153965590646256e-05
Psmd4	4.7901597	1.0098796	1.6664866818390528e-06	7.153965590646256e-05
Psmc1	4.7696543	1.1365197	1.8454228721734263e-06	7.906392079135079e-05
Glrx3	4.766299	1.0232136	1.8764078632237488e-06	8.012304560461536e-05
Psma3	4.766175	0.70316094	1.8775650014326577e-06	8.012304560461536e-05
Ndufa1	4.764062	0.7570815	1.897341564066798e-06	8.080729071576799e-05
Cct2	4.7634406	0.9033035	1.9031961863657429e-06	8.089707726810135e-05
Arhgdia	4.7556114	1.0164279	1.978467775295814e-06	8.36028467161693e-05
Fam162a	4.7445507	1.21774	2.0896941418526055e-06	8.813040157231116e-05
Mif	4.7281466	0.7253816	2.265784770654746e-06	9.53705468864482e-05
Cdc37	4.722803	1.2768772	2.3261628481100827e-06	9.772146766389303e-05
Pa2g4	4.714352	1.0485635	2.424809124304283e-06	0.0001012744747023257
Rps16-ps2	4.711618	1.0682428	2.457575107221885e-06	0.00010224743601202729
Prdx4	4.709008	1.3951747	2.4892479406143404e-06	0.00010336602073401048
